name;@lat;@lon
Rúa de Galicia;42.7844184;-8.8881927
Rúa de Galicia;42.7842295;-8.8882123
Rúa de Galicia;42.7843644;-8.8878712
Rúa da Porta da Vila;42.7840360;-8.8871867
Rúa do Escultor Ferreiro;42.7831979;-8.8864020
Camiño da Cancela ao Semáforo;43.7759705;-7.6750952
Rúa da Cruz;43.7382871;-7.7036556
Rúa do Porto;43.7329969;-7.6738164
Paralela dos Armada;43.7725782;-7.6677818
Avenida de Telleiras;43.4853323;-8.2164835
Estrada á Estaca de Bares;43.7786331;-7.6835696
Estrada da Trincheira;43.4896817;-8.2129304
Avenida de Telleiras;43.4846130;-8.2125327
Avenida das Pías;43.4849875;-8.2007889
Rúa Juan de Austria;43.4839436;-8.2072809
Rúa Lepanto;43.4862002;-8.2083249
Rúa Luís de Requesens;43.4859430;-8.2089452
Rúa Luís de Requesens;43.4860412;-8.2087580
Rúa Pedra Sartaña;42.7862413;-8.8895407
Rúa de Amor Ruibal;42.8689340;-8.5483331
Rúa do Hórreo;42.8699036;-8.5476029
Avenida de Antonio Fraguas;42.8636443;-8.5658793
Avenida de Antonio Fraguas;42.8638934;-8.5658024
Autoestrada do Atlántico;43.3338962;-8.4023256
Avenida Alcalde Alfonso Molina;43.3312734;-8.3856545
Avenida de Pontevedra;42.8485927;-8.5739617
Travesía de Reborido;42.8393367;-8.5823619
Avenida de Rosalía de Castro;42.8412291;-8.5798663
Rúa Río Xubia;43.4928886;-8.2206708
Rúa da Ponte do Porco;43.3384216;-8.2002084
Rúa da Ponte do Porco;43.3369720;-8.2008190
Rúa Río Xubia;43.4904510;-8.2248918
A Graña;43.3239609;-8.1717514
Rúa do Viaduto da Rocha;42.8620674;-8.5692815
Praza das Américas;42.7820145;-8.8855581
Rúa da República Arxentina;42.7800826;-8.8838861
Avenida de San Cristovo;43.3428557;-8.4083390
Rúa Copérnico;43.3528340;-8.4236207
Rúa Rochel;43.4856696;-8.2285324
Praza do Callao;43.4843432;-8.2301524
Rúa Rochel;43.4848528;-8.2291852
Estrada de Castela;43.5167398;-8.1514206
Travesía da Igrexa;42.7583681;-8.9460799
Rúa das Redeiras;42.7583382;-8.9458415
Rúa das Redeiras;42.7586996;-8.9460939
Rúa da Rambla;42.7590090;-8.9481193
Rúa da Sardiñeira;42.7593706;-8.9458052
Rúa da Sardiñeira;42.7596160;-8.9452796
Rúa de Santo André;42.7582074;-8.9481992
Rúa de San Xosé;42.7577890;-8.9482695
Paseo de Coira;42.7567574;-8.9503345
Paseo de Coira;42.7589816;-8.9495277
Rúa de Santo André;42.7566943;-8.9494771
Rúa das Escamas;42.7583549;-8.9463863
Paseo da Romera;42.7626285;-8.9443987
Paseo da Romera;42.7608889;-8.9450519
Paseo da Romera;42.7604152;-8.9453852
Rúa da Igrexa;42.7577169;-8.9449877
Avenida de Xosé Filgueira Valverde;42.8655154;-8.5699338
Avenida de Xosé Filgueira Valverde;42.8638279;-8.5681804
Autoestrada do Atlántico;42.9062206;-8.4883949
Autoestrada do Atlántico;42.8776534;-8.5158792
Autoestrada do Atlántico;42.8551364;-8.5505009
Autoestrada do Atlántico;42.9776969;-8.4403698
Autoestrada do Atlántico;42.9234598;-8.4735621
Autoestrada do Atlántico;42.9450041;-8.4623352
Vía de Edison;42.9100552;-8.5122654
